starttime	seconds	ctime	dtime	ttime	wait
Fri Mar 31 11:24:09 2023	1680242049	0	36891	36891	36891
Fri Mar 31 11:23:33 2023	1680242013	0	36896	36896	36896
Fri Mar 31 11:23:26 2023	1680242006	0	36925	36925	36924
Fri Mar 31 11:23:33 2023	1680242013	0	36948	36948	36948
Fri Mar 31 11:23:42 2023	1680242022	0	37127	37127	37127
Fri Mar 31 11:23:27 2023	1680242007	0	37134	37134	37133
Fri Mar 31 11:23:42 2023	1680242022	1	37157	37158	37157
Fri Mar 31 11:23:16 2023	1680241996	0	37227	37227	37227
Fri Mar 31 11:23:33 2023	1680242013	0	37279	37279	37279
Fri Mar 31 11:23:36 2023	1680242016	0	37299	37299	37299
Fri Mar 31 11:25:25 2023	1680242125	0	37360	37361	37360
Fri Mar 31 11:24:00 2023	1680242040	0	37365	37365	37365
Fri Mar 31 11:23:50 2023	1680242030	0	37400	37400	37400
Fri Mar 31 11:23:26 2023	1680242006	1	37407	37408	37406
Fri Mar 31 11:22:59 2023	1680241979	3	37410	37412	37410
Fri Mar 31 11:22:59 2023	1680241979	3	37410	37413	37410
Fri Mar 31 11:22:59 2023	1680241979	3	37419	37422	37419
Fri Mar 31 11:22:59 2023	1680241979	3	37422	37424	37421
Fri Mar 31 11:22:59 2023	1680241979	4	37422	37427	37422
Fri Mar 31 11:22:59 2023	1680241979	3	37454	37457	37454
Fri Mar 31 11:24:08 2023	1680242048	0	37696	37696	37695
Fri Mar 31 11:23:55 2023	1680242035	0	37711	37711	37710
Fri Mar 31 11:23:43 2023	1680242023	0	37717	37717	37717
Fri Mar 31 11:24:14 2023	1680242054	0	37728	37728	37728
Fri Mar 31 11:23:19 2023	1680241999	0	37758	37758	37758
Fri Mar 31 11:23:46 2023	1680242026	0	37767	37767	37767
Fri Mar 31 11:23:35 2023	1680242015	0	37777	37777	37776
Fri Mar 31 11:23:46 2023	1680242026	0	37781	37781	37781
Fri Mar 31 11:25:25 2023	1680242125	0	37824	37824	37824
Fri Mar 31 11:23:58 2023	1680242038	0	37830	37831	37830
Fri Mar 31 11:24:10 2023	1680242050	0	37849	37849	37849
Fri Mar 31 11:24:13 2023	1680242053	0	37884	37884	37884
Fri Mar 31 11:23:29 2023	1680242009	0	37887	37887	37887
Fri Mar 31 11:24:10 2023	1680242050	0	37905	37905	37905
Fri Mar 31 11:24:02 2023	1680242042	0	37938	37938	37937
Fri Mar 31 11:23:25 2023	1680242005	0	37967	37968	37967
Fri Mar 31 11:23:29 2023	1680242009	0	37969	37969	37969
Fri Mar 31 11:23:56 2023	1680242036	0	37998	37998	37998
Fri Mar 31 11:24:11 2023	1680242051	0	38026	38026	38026
Fri Mar 31 11:23:52 2023	1680242032	0	38129	38129	38129
Fri Mar 31 11:23:20 2023	1680242000	0	38136	38136	38136
Fri Mar 31 11:24:25 2023	1680242065	0	38141	38141	38141
Fri Mar 31 11:24:07 2023	1680242047	0	38158	38158	38158
Fri Mar 31 11:23:15 2023	1680241995	0	38158	38158	38158
Fri Mar 31 11:24:06 2023	1680242046	0	38159	38159	38159
Fri Mar 31 11:23:11 2023	1680241991	0	38168	38168	38168
Fri Mar 31 11:24:07 2023	1680242047	0	38169	38169	38169
Fri Mar 31 11:22:59 2023	1680241979	3	38177	38180	38177
Fri Mar 31 11:23:11 2023	1680241991	0	38187	38187	38187
Fri Mar 31 11:24:12 2023	1680242052	0	38230	38231	38230
Fri Mar 31 11:23:22 2023	1680242002	0	38278	38278	38278
Fri Mar 31 11:23:49 2023	1680242029	0	38345	38345	38345
Fri Mar 31 11:23:15 2023	1680241995	0	38405	38405	38404
Fri Mar 31 11:23:57 2023	1680242037	0	38440	38440	38440
Fri Mar 31 11:23:15 2023	1680241995	0	38443	38443	38443
Fri Mar 31 11:23:30 2023	1680242010	0	38448	38448	38448
Fri Mar 31 11:23:37 2023	1680242017	0	38462	38462	38462
Fri Mar 31 11:23:18 2023	1680241998	0	38464	38464	38464
Fri Mar 31 11:23:56 2023	1680242036	0	38482	38482	38482
Fri Mar 31 11:23:53 2023	1680242033	0	38525	38525	38524
Fri Mar 31 11:23:18 2023	1680241998	0	38528	38528	38527
Fri Mar 31 11:24:00 2023	1680242040	0	38529	38529	38529
Fri Mar 31 11:24:16 2023	1680242056	0	38537	38537	38537
Fri Mar 31 11:22:59 2023	1680241979	3	38582	38585	38582
Fri Mar 31 11:23:46 2023	1680242026	0	38606	38606	38606
Fri Mar 31 11:23:45 2023	1680242025	0	38636	38636	38636
Fri Mar 31 11:24:16 2023	1680242056	0	38649	38649	38649
Fri Mar 31 11:24:03 2023	1680242043	0	38668	38669	38668
Fri Mar 31 11:24:24 2023	1680242064	0	38737	38737	38737
Fri Mar 31 11:23:50 2023	1680242030	0	38744	38744	38744
Fri Mar 31 11:24:24 2023	1680242064	0	38763	38763	38763
Fri Mar 31 11:23:52 2023	1680242032	0	38786	38786	38786
Fri Mar 31 11:23:33 2023	1680242013	0	38808	38808	38808
Fri Mar 31 11:24:04 2023	1680242044	0	38831	38832	38831
Fri Mar 31 11:24:00 2023	1680242040	0	38851	38851	38851
Fri Mar 31 11:24:10 2023	1680242050	0	38857	38858	38857
Fri Mar 31 11:24:13 2023	1680242053	0	38910	38910	38909
Fri Mar 31 11:24:04 2023	1680242044	0	38924	38924	38923
Fri Mar 31 11:23:21 2023	1680242001	0	38937	38937	38937
Fri Mar 31 11:23:21 2023	1680242001	1	38945	38946	38945
Fri Mar 31 11:24:16 2023	1680242056	0	38967	38967	38967
Fri Mar 31 11:23:53 2023	1680242033	0	38993	38993	38990
Fri Mar 31 11:25:25 2023	1680242125	0	39023	39023	39023
Fri Mar 31 11:23:53 2023	1680242033	0	39028	39028	39028
Fri Mar 31 11:25:25 2023	1680242125	0	39057	39057	39057
Fri Mar 31 11:24:13 2023	1680242053	0	39139	39139	39139
Fri Mar 31 11:22:59 2023	1680241979	3	39167	39170	39166
Fri Mar 31 11:23:03 2023	1680241983	0	39266	39266	39266
Fri Mar 31 11:25:22 2023	1680242122	0	39290	39290	39290
Fri Mar 31 11:25:23 2023	1680242123	0	39443	39443	39443
Fri Mar 31 11:24:02 2023	1680242042	0	39489	39489	39489
Fri Mar 31 11:24:03 2023	1680242043	0	39524	39524	39524
Fri Mar 31 11:23:03 2023	1680241983	0	39589	39589	39589
Fri Mar 31 11:23:50 2023	1680242030	0	39670	39670	39670
Fri Mar 31 11:24:19 2023	1680242059	0	39679	39679	39679
Fri Mar 31 11:24:19 2023	1680242059	0	39700	39700	39699
Fri Mar 31 11:23:17 2023	1680241997	0	39720	39720	39720
