starttime	seconds	ctime	dtime	ttime	wait
Fri Mar 31 10:26:02 2023	1680238562	0	3921	3921	3921
Fri Mar 31 10:23:56 2023	1680238436	1	3935	3935	3934
Fri Mar 31 10:27:11 2023	1680238631	0	3938	3938	3938
Fri Mar 31 10:25:31 2023	1680238531	0	3940	3940	3940
Fri Mar 31 10:25:46 2023	1680238546	0	3942	3942	3942
Fri Mar 31 10:26:52 2023	1680238612	0	3944	3944	3944
Fri Mar 31 10:25:33 2023	1680238533	0	3945	3945	3945
Fri Mar 31 10:25:37 2023	1680238537	0	3956	3956	3956
Fri Mar 31 10:27:09 2023	1680238629	0	3964	3964	3964
Fri Mar 31 10:27:26 2023	1680238646	0	3966	3966	3966
Fri Mar 31 10:25:18 2023	1680238518	0	3977	3978	3977
Fri Mar 31 10:25:54 2023	1680238554	0	3980	3980	3980
Fri Mar 31 10:24:15 2023	1680238455	0	3981	3981	3981
Fri Mar 31 10:25:36 2023	1680238536	0	3989	3989	3989
Fri Mar 31 10:25:57 2023	1680238557	0	4008	4008	4008
Fri Mar 31 10:25:48 2023	1680238548	0	4011	4011	4011
Fri Mar 31 10:27:18 2023	1680238638	0	4020	4020	4020
Fri Mar 31 10:25:29 2023	1680238529	0	4024	4024	4023
Fri Mar 31 10:26:30 2023	1680238590	0	4028	4028	4028
Fri Mar 31 10:23:56 2023	1680238436	1	4048	4049	4048
Fri Mar 31 10:26:57 2023	1680238617	0	4075	4075	4075
Fri Mar 31 10:23:56 2023	1680238436	1	4095	4096	4095
Fri Mar 31 10:26:25 2023	1680238585	0	4116	4116	4116
Fri Mar 31 10:25:45 2023	1680238545	0	4125	4125	4125
Fri Mar 31 10:25:25 2023	1680238525	0	4135	4135	4135
Fri Mar 31 10:26:13 2023	1680238573	0	4136	4136	4136
Fri Mar 31 10:26:17 2023	1680238577	0	4156	4156	4155
Fri Mar 31 10:25:02 2023	1680238502	0	4168	4169	4168
Fri Mar 31 10:26:49 2023	1680238609	0	4172	4172	4171
Fri Mar 31 10:27:15 2023	1680238635	0	4186	4186	4185
Fri Mar 31 10:24:25 2023	1680238465	0	4192	4192	4192
Fri Mar 31 10:26:57 2023	1680238617	0	4199	4199	4199
Fri Mar 31 10:27:30 2023	1680238650	0	4211	4211	4211
Fri Mar 31 10:24:23 2023	1680238463	0	4214	4214	4214
Fri Mar 31 10:24:36 2023	1680238476	0	4229	4229	4229
Fri Mar 31 10:27:15 2023	1680238635	0	4236	4236	4236
Fri Mar 31 10:26:50 2023	1680238610	0	4242	4242	4242
Fri Mar 31 10:25:14 2023	1680238514	0	4250	4250	4250
Fri Mar 31 10:25:01 2023	1680238501	0	4271	4272	4271
Fri Mar 31 10:25:49 2023	1680238549	0	4279	4279	4279
Fri Mar 31 10:24:04 2023	1680238444	0	4279	4279	4279
Fri Mar 31 10:26:42 2023	1680238602	0	4288	4288	4288
Fri Mar 31 10:24:30 2023	1680238470	0	4290	4290	4290
Fri Mar 31 10:24:10 2023	1680238450	0	4294	4294	4294
Fri Mar 31 10:26:36 2023	1680238596	0	4296	4296	4296
Fri Mar 31 10:24:10 2023	1680238450	0	4306	4306	4306
Fri Mar 31 10:24:24 2023	1680238464	0	4317	4317	4313
Fri Mar 31 10:26:54 2023	1680238614	0	4319	4319	4319
Fri Mar 31 10:24:43 2023	1680238483	1	4321	4322	4320
Fri Mar 31 10:25:19 2023	1680238519	0	4329	4329	4329
Fri Mar 31 10:23:59 2023	1680238439	0	4335	4335	4335
Fri Mar 31 10:26:11 2023	1680238571	0	4350	4350	4350
Fri Mar 31 10:24:29 2023	1680238469	0	4351	4351	4350
Fri Mar 31 10:26:56 2023	1680238616	0	4354	4354	4354
Fri Mar 31 10:26:43 2023	1680238603	0	4355	4355	4355
Fri Mar 31 10:25:01 2023	1680238501	0	4358	4358	4357
Fri Mar 31 10:25:33 2023	1680238533	0	4362	4362	4362
Fri Mar 31 10:26:21 2023	1680238581	0	4365	4365	4365
Fri Mar 31 10:24:57 2023	1680238497	0	4369	4370	4369
Fri Mar 31 10:23:56 2023	1680238436	1	4371	4372	4371
Fri Mar 31 10:24:43 2023	1680238483	0	4394	4394	4394
Fri Mar 31 10:26:07 2023	1680238567	0	4395	4395	4395
Fri Mar 31 10:24:05 2023	1680238445	0	4410	4410	4410
Fri Mar 31 10:26:11 2023	1680238571	0	4413	4413	4412
Fri Mar 31 10:24:59 2023	1680238499	0	4432	4432	4432
Fri Mar 31 10:25:22 2023	1680238522	0	4465	4466	4465
Fri Mar 31 10:24:19 2023	1680238459	0	4495	4495	4495
Fri Mar 31 10:25:05 2023	1680238505	0	4525	4525	4525
Fri Mar 31 10:26:05 2023	1680238565	0	4535	4536	4535
Fri Mar 31 10:25:29 2023	1680238529	0	4538	4538	4538
Fri Mar 31 10:25:50 2023	1680238550	0	4545	4545	4544
Fri Mar 31 10:26:51 2023	1680238611	0	4562	4562	4561
Fri Mar 31 10:25:18 2023	1680238518	0	4577	4577	4577
Fri Mar 31 10:24:43 2023	1680238483	0	4598	4598	4598
Fri Mar 31 10:24:37 2023	1680238477	1	4632	4633	4632
Fri Mar 31 10:26:13 2023	1680238573	0	4636	4636	4636
Fri Mar 31 10:26:56 2023	1680238616	0	4649	4649	4649
Fri Mar 31 10:25:12 2023	1680238512	0	4670	4670	4670
Fri Mar 31 10:27:19 2023	1680238639	0	4702	4703	4702
Fri Mar 31 10:26:04 2023	1680238564	0	4706	4706	4705
Fri Mar 31 10:23:56 2023	1680238436	1	4767	4768	4767
Fri Mar 31 10:25:31 2023	1680238531	0	4774	4774	4773
Fri Mar 31 10:25:26 2023	1680238526	0	4798	4798	4798
Fri Mar 31 10:25:07 2023	1680238507	0	4812	4812	4812
Fri Mar 31 10:26:07 2023	1680238567	0	4814	4814	4814
Fri Mar 31 10:25:50 2023	1680238550	0	4816	4816	4816
Fri Mar 31 10:24:27 2023	1680238467	0	4833	4833	4833
Fri Mar 31 10:24:14 2023	1680238454	0	4891	4891	4890
Fri Mar 31 10:25:50 2023	1680238550	0	4932	4932	4932
Fri Mar 31 10:24:07 2023	1680238447	0	4936	4936	4936
Fri Mar 31 10:26:45 2023	1680238605	0	4948	4949	4948
Fri Mar 31 10:27:24 2023	1680238644	0	4993	4994	4993
Fri Mar 31 10:25:34 2023	1680238534	0	5016	5016	5016
Fri Mar 31 10:25:08 2023	1680238508	0	5025	5025	5025
Fri Mar 31 10:26:20 2023	1680238580	0	5038	5038	5038
Fri Mar 31 10:25:50 2023	1680238550	0	5059	5059	5059
Fri Mar 31 10:25:16 2023	1680238516	0	5132	5133	5132
Fri Mar 31 10:24:09 2023	1680238449	0	5138	5138	5138
Fri Mar 31 10:27:28 2023	1680238648	0	5178	5178	5178
Fri Mar 31 10:27:09 2023	1680238629	0	5182	5182	5181
Fri Mar 31 10:26:34 2023	1680238594	0	5190	5190	5189
Fri Mar 31 10:25:54 2023	1680238554	0	5217	5217	5217
Fri Mar 31 10:24:34 2023	1680238474	0	5246	5247	5246
Fri Mar 31 10:26:01 2023	1680238561	0	5264	5264	5264
Fri Mar 31 10:27:06 2023	1680238626	0	5268	5268	5267
Fri Mar 31 10:24:57 2023	1680238497	0	5303	5303	5303
Fri Mar 31 10:25:05 2023	1680238505	0	5309	5310	5309
Fri Mar 31 10:26:50 2023	1680238610	0	5329	5329	5329
Fri Mar 31 10:25:13 2023	1680238513	0	5356	5356	5356
Fri Mar 31 10:26:11 2023	1680238571	0	5377	5377	5377
Fri Mar 31 10:27:26 2023	1680238646	0	5394	5395	5394
Fri Mar 31 10:26:57 2023	1680238617	0	5426	5426	5426
Fri Mar 31 10:24:12 2023	1680238452	0	5427	5427	5427
Fri Mar 31 10:25:46 2023	1680238546	0	5461	5461	5461
Fri Mar 31 10:24:14 2023	1680238454	0	5463	5464	5463
Fri Mar 31 10:26:05 2023	1680238565	0	5545	5545	5544
Fri Mar 31 10:24:25 2023	1680238465	1	5546	5547	5546
Fri Mar 31 10:27:23 2023	1680238643	0	5594	5594	5594
Fri Mar 31 10:25:28 2023	1680238528	0	5620	5620	5619
Fri Mar 31 10:23:59 2023	1680238439	0	5640	5640	5640
Fri Mar 31 10:26:37 2023	1680238597	0	5660	5660	5660
Fri Mar 31 10:26:47 2023	1680238607	0	5661	5661	5660
Fri Mar 31 10:24:15 2023	1680238455	0	5690	5690	5690
Fri Mar 31 10:26:28 2023	1680238588	0	5795	5795	5794
Fri Mar 31 10:25:39 2023	1680238539	0	5799	5799	5799
Fri Mar 31 10:25:39 2023	1680238539	0	5832	5832	5832
Fri Mar 31 10:25:25 2023	1680238525	0	5850	5850	5850
Fri Mar 31 10:27:20 2023	1680238640	0	5887	5887	5887
Fri Mar 31 10:26:30 2023	1680238590	0	5889	5889	5889
Fri Mar 31 10:24:21 2023	1680238461	0	5933	5933	5933
Fri Mar 31 10:26:52 2023	1680238612	0	5939	5939	5939
Fri Mar 31 10:26:21 2023	1680238581	0	5954	5954	5954
Fri Mar 31 10:26:36 2023	1680238596	0	5991	5991	5991
Fri Mar 31 10:24:31 2023	1680238471	0	6020	6020	6020
Fri Mar 31 10:25:12 2023	1680238512	0	6043	6043	6043
Fri Mar 31 10:27:17 2023	1680238637	0	6051	6051	6051
Fri Mar 31 10:25:47 2023	1680238547	0	6103	6103	6103
Fri Mar 31 10:26:43 2023	1680238603	0	6108	6108	6108
Fri Mar 31 10:26:15 2023	1680238575	0	6123	6123	6123
Fri Mar 31 10:27:31 2023	1680238651	0	6130	6130	6130
Fri Mar 31 10:24:28 2023	1680238468	5	6167	6172	6167
Fri Mar 31 10:26:09 2023	1680238569	0	6184	6184	6184
Fri Mar 31 10:26:15 2023	1680238575	0	6223	6223	6223
Fri Mar 31 10:24:00 2023	1680238440	0	6227	6227	6227
Fri Mar 31 10:25:35 2023	1680238535	0	6242	6242	6241
Fri Mar 31 10:24:14 2023	1680238454	0	6246	6246	6246
Fri Mar 31 10:24:12 2023	1680238452	0	6264	6264	6264
Fri Mar 31 10:24:36 2023	1680238476	0	6324	6324	6324
Fri Mar 31 10:24:20 2023	1680238460	0	6334	6334	6334
Fri Mar 31 10:24:19 2023	1680238459	1	6344	6345	6344
Fri Mar 31 10:27:06 2023	1680238626	0	6346	6346	6346
